"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sat Feb 18 18:58:08 GMT 2023","Sat Feb 18 18:58:08 GMT 2023","287","chromium","","","","","test case 3 - C3",""
"passed","Sat Feb 18 18:58:08 GMT 2023","Sat Feb 18 18:58:08 GMT 2023","297","chromium","","","","","test case 4 - C4",""
"passed","Sat Feb 18 18:58:08 GMT 2023","Sat Feb 18 18:58:09 GMT 2023","312","chromium","","","","","test case 5 - C5",""
"passed","Sat Feb 18 18:58:07 GMT 2023","Sat Feb 18 18:58:08 GMT 2023","916","chromium","","","","","test case 2 - C2",""
"passed","Sat Feb 18 18:58:06 GMT 2023","Sat Feb 18 18:58:07 GMT 2023","963","chromium","","","","","test case 1 - C1",""
